"","Potency","MolWt","MolLogP","TPSA","RingCount","NumHeteroAtoms"
"174",16.9441,208.264,3.53832,28.68,3,2
"175",23.9341,302.381,4.3157,45.64,4,4
"176",0.1069,273.291,3.8574,50.19,4,3
"177",1.1995,268.272,2.8636,78.35,3,5
"178",16.9441,270.357,3.734,37.91,3,4
"179",6.012,258.712,3.0477,80.72,3,5
"180",1.6944,259.261,2.46742,79.54,2,5
"181",19.0115,259.33,3.38052,50.19,2,4
"182",5.3582,301.371,2.2516,54.68,3,6
"183",15.1014,250.681,3.6172,50.44,2,4
"184",5.3582,422.536,2.55662,125.91,3,11
"185",0.8492,306.203,4.5593,33.12,2,3
"186",9.5283,226.235,3.0423,62.05,3,4
"187",4.2562,301.342,3.4565,79.54,2,5
"188",15.1014,340.379,3.6217,95.5,2,6
"189",15.1014,244.25,2.532,71.45,2,5
"190",6.7456,294.314,3.2672,77.62,3,6
"191",10.691,230.263,3.27222,50.44,2,3
"192",9.5283,441.465,3.62944,119.76,4,10
"193",4.7755,285.734,2.8317,50.16,4,5
"194",11.9955,307.415,3.4906,66.4,2,5
"195",2.3934,336.347,2.2293,80.42,4,6
"196",16.9441,298.367,2.82802,61.96,3,5
"197",15.1014,234.251,3.01202,59.67,2,4
"198",16.9441,278.311,3.6663,58.62,3,4
"199",10.691,250.301,3.5525,45.15,3,3
"200",6.7456,412.471,2.9087,93.65,4,9
"201",10.691,440.525,3.6889,93.65,4,9
"202",6.7456,283.356,3.96272,58.04,3,5
"203",6.7456,251.289,2.60498,61.06,3,4
"204",2.3934,280.327,3.5611,54.38,3,4
"205",16.9441,299.355,3.66832,78.27,3,6
"206",7.5686,362.407,2.1059,84.94,3,8
"207",15.1014,315.369,2.4327,83.47,2,5
"208",11.9955,269.304,2.14442,59.39,3,5
"209",16.9441,256.265,1.40162,72.28,3,6
"210",11.9955,353.403,3.93212,87.99,4,7
"211",15.1014,324.336,3.2547,73.58,3,6
"212",15.1014,269.325,3.8883,53.35,3,4
"213",19.0115,310.103,2.9926,79.54,2,6
"214",0.0849,402.472,1.8968,103.78,3,8
"215",0.0213,366.527,2.9545,66.48,2,6
"216",1.3459,242.303,2.96002,45.75,3,4
"217",15.1014,228.276,2.6516,45.75,3,4
"218",6.7456,321.354,3.1429,88.77,3,7
"219",8.4921,257.314,3.6775,42.35,3,4
"220",1.0691,404.444,1.96642,113.01,3,9
"221",15.1014,274.32,1.8977,62.13,3,5
"222",19.0115,349.456,2.999,76.3,3,7
"223",19.0115,299.326,3.41732,79.54,3,5
"224",15.1014,204.229,2.3845,65.98,2,4
"225",19.0115,311.341,2.10362,76.46,3,6
"226",13.4591,331.759,2.4486,76.46,3,7
